                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4976,                 4.2495,                 2.2461,                0.00795,                0.90434,                 0.0119,                0.01165,                0.33903,                 2.9079,                0.69132,               0.070011,              0.0033322,              0.0033322
                      2,                0.28081,                  2.969,                0.97524,                0.00875,                0.95372,                0.01154,                 0.0113,                0.16591,                 2.7673,                0.44903,               0.039879,              0.0065335,              0.0065335
                      3,                0.20399,                 2.7725,                0.93459,                0.00836,                  0.947,                0.01229,                0.01203,                0.15909,                 2.7336,                0.41828,              0.0096147,              0.0096029,              0.0096029
                      4,                0.16493,                 2.7012,                0.91573,                0.00916,                0.94226,                0.01839,                0.01812,                0.13258,                 2.6233,                0.38452,               0.009406,               0.009406,               0.009406
                      5,                0.13693,                 2.6423,                0.90065,                0.00938,                0.96596,                0.02383,                0.02354,                0.11919,                 2.5624,                0.36549,               0.009208,               0.009208,               0.009208
                      6,                0.12422,                 2.5819,                0.89138,                0.75074,                  0.099,                0.03419,                0.03392,                 0.0777,                 2.4425,                0.31128,                0.00901,                0.00901,                0.00901
                      7,                0.11309,                 2.5181,                0.88684,                0.77361,                0.09269,                0.04666,                0.04601,                0.07514,                 2.3672,                0.31706,               0.008812,               0.008812,               0.008812
                      8,                0.10308,                 2.4659,                0.88363,                0.70358,                0.11328,                0.05714,                0.05659,                0.09121,                 2.2764,                0.33244,               0.008614,               0.008614,               0.008614
                      9,                0.09576,                 2.4274,                0.88071,                0.69704,                0.11906,                0.06468,                0.06411,                0.07377,                 2.2213,                0.31077,               0.008416,               0.008416,               0.008416
                     10,                0.09013,                 2.4001,                0.87989,                0.69102,                0.13414,                0.07284,                0.07193,                0.05548,                 2.1705,                0.28782,               0.008218,               0.008218,               0.008218
                     11,                0.08644,                 2.3624,                0.87955,                0.53549,                0.15024,                0.08224,                0.08118,                0.06639,                 2.1292,                0.29791,                0.00802,                0.00802,                0.00802
                     12,                0.08231,                   2.33,                0.87694,                0.55598,                0.15477,                 0.0928,                0.09171,                0.07178,                 2.0952,                 0.3046,               0.007822,               0.007822,               0.007822
                     13,                0.07898,                 2.2958,                0.87845,                0.50082,                0.16924,                0.10548,                0.10447,                0.08538,                  2.052,                0.32369,               0.007624,               0.007624,               0.007624
                     14,                0.07627,                 2.2648,                0.87782,                 0.5174,                0.17309,                0.11744,                0.11622,                0.10056,                 2.0128,                0.34206,               0.007426,               0.007426,               0.007426
                     15,                0.07331,                 2.2397,                0.87713,                0.47153,                0.18334,                0.12798,                0.12641,                0.10726,                 1.9815,                0.35093,               0.007228,               0.007228,               0.007228
                     16,                0.07161,                  2.213,                0.87572,                0.45063,                0.18993,                0.13554,                0.13373,                0.10264,                 1.9607,                0.34738,                0.00703,                0.00703,                0.00703
                     17,                0.06923,                 2.1851,                 0.8761,                0.42024,                0.19597,                0.14365,                 0.1417,                0.10372,                 1.9333,                0.34815,               0.006832,               0.006832,               0.006832
                     18,                0.06684,                 2.1644,                0.87465,                0.39376,                0.21196,                0.15164,                 0.1498,                0.10475,                 1.9051,                0.34945,               0.006634,               0.006634,               0.006634
                     19,                0.06598,                 2.1343,                0.87522,                0.38038,                  0.213,                0.15685,                0.15482,                0.10505,                 1.8929,                0.34859,               0.006436,               0.006436,               0.006436
                     20,                0.06392,                 2.1128,                0.87496,                0.35768,                0.22258,                0.16363,                0.16155,                0.10198,                 1.8686,                0.34435,               0.006238,               0.006238,               0.006238
                     21,                0.06227,                 2.0857,                0.87481,                0.34081,                0.22908,                0.16966,                0.16765,                0.08721,                 1.8442,                0.32402,                0.00604,                0.00604,                0.00604
                     22,                0.06063,                 2.0604,                0.87379,                0.33373,                 0.2381,                0.17614,                0.17412,                0.07471,                  1.819,                0.30736,               0.005842,               0.005842,               0.005842
                     23,                 0.0589,                 2.0403,                0.87302,                0.32768,                0.24167,                 0.1825,                 0.1804,                0.06695,                 1.7983,                0.29756,               0.005644,               0.005644,               0.005644
                     24,                0.05793,                 2.0195,                0.87304,                0.33313,                 0.2429,                0.18843,                0.18629,                0.06545,                 1.7854,                 0.2956,               0.005446,               0.005446,               0.005446
                     25,                0.05693,                 2.0014,                0.87317,                0.34408,                0.24441,                0.19252,                0.19037,                0.06556,                 1.7755,                0.29542,               0.005248,               0.005248,               0.005248
                     26,                0.05554,                 1.9713,                0.87291,                0.35446,                0.24691,                0.19584,                0.19371,                0.06219,                 1.7636,                0.29125,                0.00505,                0.00505,                0.00505
                     27,                0.05386,                 1.9461,                0.87328,                0.33587,                0.24616,                0.19977,                0.19741,                0.05974,                 1.7547,                0.28875,               0.004852,               0.004852,               0.004852
                     28,                0.05245,                 1.9288,                0.87198,                0.35643,                 0.2531,                0.20349,                0.20131,                0.06244,                 1.7473,                0.29163,               0.004654,               0.004654,               0.004654
                     29,                 0.0512,                 1.9039,                0.87097,                0.33996,                0.25682,                 0.2071,                0.20486,                 0.0636,                 1.7412,                0.29301,               0.004456,               0.004456,               0.004456
                     30,                0.05062,                  1.885,                0.87164,                 0.3488,                0.25858,                0.20969,                0.20737,                0.06532,                  1.737,                0.29528,               0.004258,               0.004258,               0.004258
